央视频道,#genre#
东方卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3594/index.m3u8
天津卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3597/index.m3u8
重庆卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35963/index.m3u8
四川卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35970/index.m3u8
广东卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35966/index.m3u8
深圳卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35997/index.m3u8
浙江卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35959/index.m3u8
江苏卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35938/index.m3u8
山东卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3595/index.m3u8
江西卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35935/index.m3u8
河北卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3596/index.m3u8
河南卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3603/index.m3u8
湖北卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35975/index.m3u8
安徽卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3595/index.m3u8
贵州卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/36030/index.m3u8
吉林卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3598/index.m3u8
山西卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/36009/index.m3u8
陕西卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35989/index.m3u8
海南卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35978/index.m3u8
东南卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/36038/index.m3u8

延边卫视,http://live.ybtvyun.com/video/s0006-44f04067ca/index.m3u8
山西卫视,http://[409:8087:5e0:34::]:660/ZTE_CMS/000000000000006000000000000038/index.m3u8?IAS
陕西卫视,http://[409:8087:5e0:34::]:660/ZTE_CMS/000000000000006000000000000033/index.m3u8?IAS
云南卫视,http://[409:8087:5e0:34::]:660/ZTE_CMS/0000000000000060000000000000305/index.m3u8?IAS
西藏卫视,http://[409:8087:5e0:34::3]:660/ZTE_CMS/000000000000006000000000000037/index.m3u8?IAS
厦门卫视,http://[409:8087:5e0:34::]:660/ZTE_CMS/000000000000006000000000000093/index.m3u8?IAS
三亚卫视,http://[409:8087:5e0:34::]:660/ZTE_CMS/000000000000006000000000000036/index.m3u8?IAS
纪实人文,http://[409:8087:5e0:34::3]:660/ZTE_CMS/0000000000000060000000000000365/index.m3u8?IAS
宁夏卫视,http://[409:8087:5e0:34::]:660/ZTE_CMS/0000000000000060000000000000309/index.m3u8?fmmv6
河北卫视,http://[409:8087:5e0:34::]:660/ZTE_CMS/0000000000000060000000000000487/index.m3u8?fmmv6
三沙卫视,http://[409:8087:5e0:34::]:660/ZTE_CMS/0898440000000006000000000000039/index.m3u8?fmmv6
内蒙古卫视,http://[409:8087:5e0:34::0]:660/ZTE_CMS/000000000000006000000000000039/index.m3u8?IAS

山东卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN999BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUYPFYDnFP%FDAPuH7S4egu%BwwoDIwMxbrlyyVy9x6ZDKnitPDnaOO8v3uGUKihZOhPazmZ%B8tgH3leYQIsqfKE
辽宁卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN345000BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUZnlX6d6Ukiojy49XlNnaV6RFrn%FfItZOLbXLG9CvVKOdpK00CNswDEcoUFv%BIMStPGOlRBQsPY%BeXp9d3o
北京卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN836BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUVKcU8XeU8C9ZEnTN9C%BRcwoDIwMxbrlyyVy9x6ZDKnfS6nBeQejvigwfjRdx%BU7thmluKAkd%BIGySvIyq4AU
东方卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN3BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUaKz9fMrAi6%FC6MZg8Mm9JQwoDIwMxbrlyyVy9x6ZDKnJLnEAwl4sJgSBXbCxhRiWmveR7x9HhnhsF9G%Bd4f8
湖南卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN8358BESTVSMGSMG9/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUds%BUtPKX7dYKgp%FtymOuOt9pHjY5eGh%F3MQt0stvVIffnHpm3K9ELxLBLxf9DE3IGliSDUqkfu%BEzvoBJvtA
天津卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN3450000BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUZnlX6d6Ukiojy49XlNnaUAmpLefguRLiOPXiDRWhxHtqJCaox489JiEKddi6MNiecVT4WDzN0xwhlk8OSvQg
浙江卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN30BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUclW6AUI%FSIO%Bs%F9KaqCfRAwoDIwMxbrlyyVy9x6ZDKnvfae09h%Fzg38THB%B%FvaO%BqCb7fDXq%F%BRzMc4SN6TJM
江苏卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN9BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUcGtOwREJFyiNDdTdcsAwwoDIwMxbrlyyVy9x6ZDKnBkF6L%FLitKpXlc5tHW6%BFmFsnQjgK5quHbRYo8bFps
东南卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN354047BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUXvbCET6%FGP6LFvnNCDgH0ZQXwaiVktPr6ILPKXqwO%B40ghr%FEQqAw4TSfOQgwgjPkFLBGBm%FRxwhWL4Q3uM
广东卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN8359BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUW%B%FF4NzOzOt3cAWjhMHEuMwoDIwMxbrlyyVy9x6ZDKnU8fvJUVL98LlyeZUOMSmC30dkrUFt%FE8JGKMphXYE
深圳卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN836BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUTYjXE4%FzHcB4DvaRB5Fv5MwoDIwMxbrlyyVy9x6ZDKneDM0LfUyK%BahEGNLDZu0fEvbcgscnXPlIbJvqKAk
安徽卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN354046BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUXvbCET6%FGP6LFvnNCDgGVSARKsxkWGZw7vFUuOjQc9XJS6ezvAUx%FdaEfSJr3cdTmmqJgNdIzUOCi9%BOyg
湖北卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN9989BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUTjwoxLREP8RbFWdRUM4faswoDIwMxbrlyyVy9x6ZDKnEdPk5m%FYpbAXpN4hljdv%Fuo7x98HZteEPqTZvSaqAE
